epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.704,0.40509,0.39376,0.92376,0.96866,0.98326,0.99341,0.92447,0.35876,0.31825,0.88253,0.000462281,0.000462281,0.000462281
43,336.442,0.40187,0.3873,0.91665,0.98289,0.98371,0.995,0.9377,0.34614,0.29123,0.87188,0.000438703,0.000438703,0.000438703
44,342.606,0.38698,0.39361,0.91065,0.98791,0.98253,0.99393,0.93124,0.35811,0.2913,0.88508,0.000415124,0.000415124,0.000415124
45,349.451,0.38267,0.37774,0.91052,0.96954,0.98695,0.99389,0.93011,0.35438,0.28778,0.88324,0.000391546,0.000391546,0.000391546
46,355.979,0.38977,0.37383,0.93467,0.96659,0.99323,0.99389,0.92963,0.35751,0.28952,0.87917,0.000367967,0.000367967,0.000367967
47,361.514,0.39648,0.36563,0.93808,0.97385,0.99632,0.99389,0.92584,0.36636,0.30018,0.88178,0.000344389,0.000344389,0.000344389
48,369.142,0.39377,0.38377,0.90828,0.98782,0.98737,0.995,0.92427,0.38459,0.30377,0.90164,0.00032081,0.00032081,0.00032081
49,374.179,0.38995,0.3692,0.92186,0.97287,0.98566,0.99444,0.93245,0.37248,0.29725,0.90084,0.000297232,0.000297232,0.000297232
50,382.572,0.36525,0.35389,0.89121,0.95717,0.98401,0.99444,0.92432,0.37496,0.29888,0.89765,0.000273654,0.000273654,0.000273654
51,407.604,0.27628,0.30199,0.8216,0.95084,0.99101,0.99444,0.92389,0.37225,0.29766,0.89892,0.000250075,0.000250075,0.000250075
52,418.851,0.26234,0.27237,0.80476,0.96413,0.99642,0.99389,0.91973,0.36744,0.2974,0.89522,0.000226497,0.000226497,0.000226497
53,428.057,0.26893,0.26901,0.82028,0.97133,1,0.99389,0.92289,0.36442,0.29058,0.88945,0.000202918,0.000202918,0.000202918
54,435.594,0.26517,0.26861,0.8227,0.97583,0.98333,0.9931,0.92522,0.3568,0.28889,0.88161,0.00017934,0.00017934,0.00017934
55,442.178,0.26339,0.26275,0.81174,0.98665,0.97582,0.99421,0.93542,0.34999,0.28626,0.8748,0.000155761,0.000155761,0.000155761
56,449.159,0.24871,0.25439,0.81704,0.98547,0.99801,0.995,0.93922,0.33488,0.27419,0.8698,0.000132183,0.000132183,0.000132183
57,457.336,0.24614,0.25648,0.82004,0.9689,1,0.99389,0.94288,0.3321,0.28097,0.87101,0.000108604,0.000108604,0.000108604
58,463.571,0.24261,0.24275,0.80824,0.96473,1,0.99389,0.94324,0.33197,0.28083,0.8729,8.50255e-05,8.50255e-05,8.50255e-05
59,472.35,0.24331,0.25028,0.80873,0.97393,0.99597,0.99389,0.94336,0.33185,0.27556,0.87442,6.1447e-05,6.1447e-05,6.1447e-05
60,480.669,0.23084,0.23848,0.81241,0.97664,0.99769,0.99389,0.94384,0.33054,0.27375,0.87569,3.78685e-05,3.78685e-05,3.78685e-05
